# Bruteforce result: 66 frames (baseline 75, gain 9)
# frame	stick_x	stick_y	A	B	Z
1	-127	83	false	false	false
2	-106	125	false	false	false
3	-127	81	false	false	false
4	-114	97	false	false	true
5	-48	127	true	false	true
6	-126	111	true	false	true
7	-128	97	true	false	true
8	-128	97	true	false	true
9	-127	68	true	false	true
10	-128	97	true	false	true
11	-128	97	true	false	true
12	-128	97	true	false	true
13	-50	6	true	false	true
14	-116	109	true	false	true
15	-128	97	true	false	true
16	-127	81	true	false	true
17	-128	97	true	false	true
18	-127	100	true	false	true
19	-120	103	true	false	true
20	-128	97	true	false	true
21	-114	110	true	false	true
22	-46	127	false	false	true
23	-128	97	false	false	true
24	-124	62	false	false	true
25	-127	100	false	false	true
26	-127	127	false	false	true
27	125	75	true	false	true
28	127	75	true	false	true
29	127	75	true	false	true
30	127	68	true	false	true
31	127	68	true	false	true
32	127	75	true	false	true
33	112	63	true	false	true
34	127	75	true	false	true
35	127	78	true	false	true
36	121	77	true	false	true
37	127	75	true	false	true
38	66	51	true	false	true
39	127	26	true	false	true
40	43	52	true	false	true
41	118	33	true	false	true
42	124	69	true	false	true
43	127	127	true	false	true
44	121	93	true	false	true
45	127	71	true	false	true
46	100	-3	true	false	true
47	127	75	false	false	false
48	127	120	false	false	false
49	127	75	false	false	false
50	127	75	false	false	false
51	127	75	false	false	false
52	127	75	false	false	false
53	127	75	false	false	false
54	125	87	false	false	false
55	127	112	false	false	false
56	111	65	false	false	false
57	63	67	false	false	false
58	120	127	false	false	false
59	127	75	false	false	false
60	127	75	false	false	false
61	127	75	false	false	false
62	127	127	false	false	false
63	125	83	false	false	false
64	127	75	false	false	false
65	127	59	false	false	false
66	117	89	false	false	false
